Start_City_1,Start_City_2,Route_Agent_1_ 1,Route_Agent_1_ 2,Route_Agent_1_ 3,Route_Agent_1_ 4,Route_Agent_1_ 5,Route_Agent_1_ 6,Route_Agent_1_ 7,Route_Agent_1_ 8,Route_Agent_1_ 9,Route_Agent_1_10,Route_Agent_1_11,Route_Agent_1_12,Route_Agent_1_13,Route_Agent_1_14,Route_Agent_1_15,Route_Agent_1_16,Route_Agent_2_ 1,Route_Agent_2_ 2,Route_Agent_2_ 3,Route_Agent_2_ 4,Route_Agent_2_ 5,Route_Agent_2_ 6,Route_Agent_2_ 7,Route_Agent_2_ 8,Route_Agent_2_ 9,Route_Agent_2_10,Route_Agent_2_11,Benefit_Agent_1,Benefit_Agent_2,Cost_Agent_1,Cost_Agent_2,Payoff_Agent_1,Payoff_Agent_2,Total_Payoff,Avg_Payoff,Timestamp_Agent_1_ 1,Timestamp_Agent_1_ 2,Timestamp_Agent_1_ 3,Timestamp_Agent_1_ 4,Timestamp_Agent_1_ 5,Timestamp_Agent_1_ 6,Timestamp_Agent_1_ 7,Timestamp_Agent_1_ 8,Timestamp_Agent_1_ 9,Timestamp_Agent_1_10,Timestamp_Agent_1_11,Timestamp_Agent_1_12,Timestamp_Agent_1_13,Timestamp_Agent_1_14,Timestamp_Agent_1_15,Timestamp_Agent_1_16,Timestamp_Agent_1_17,Timestamp_Agent_1_18,Timestamp_Agent_1_19,Timestamp_Agent_1_20,Timestamp_Agent_2_ 1,Timestamp_Agent_2_ 2,Timestamp_Agent_2_ 3,Timestamp_Agent_2_ 4,Timestamp_Agent_2_ 5,Timestamp_Agent_2_ 6,Timestamp_Agent_2_ 7,Timestamp_Agent_2_ 8,Timestamp_Agent_2_ 9,Timestamp_Agent_2_10,Timestamp_Agent_2_11,Timestamp_Agent_2_12,Timestamp_Agent_2_13,Timestamp_Agent_2_14,Timestamp_Agent_2_15,Timestamp_Agent_2_16,Timestamp_Agent_2_17,Timestamp_Agent_2_18,Timestamp_Agent_2_19,Timestamp_Agent_2_20
15,17,15,20,13,7,4,19,1,2,8,11,6,15,,,,,17,5,9,18,16,12,14,3,10,17,,1650,1350,283.006,43.08,1366.994,1306.92,2673.914,1336.957,20.7806,22.7206,0,16.8006,0,26.8806,15.4006,24.6206,0,0,26.4206,0,2.4606,0,0,0,0,0,18.8806,0.3406,2.286,0,3.026,0,0.28,4.41,0,0,0.52,3.65,0,1.866,0,2.746,0,1.426,0,0.904,0,0
15,18,15,20,13,7,4,19,1,10,8,16,12,15,,,,,18,5,9,17,6,11,2,3,14,18,,1650,1350,264.826,47.54,1385.174,1302.46,2687.634,1343.817,20.7806,0,0,16.8006,0,0,15.4006,23.9206,0,22.4806,0,25.2826,2.4606,0,0,24.8426,0,0,18.8806,0.3406,0,2.432,4.138,0,0.24,1.178,0,0,0.48,3.078,1.632,4.878,0,4.418,0,0,0.778,0,0,0
15,19,15,20,13,8,2,4,11,1,3,12,14,15,,,,,19,10,7,6,17,5,9,18,16,19,,1650,1350,145.026,44.24,1504.974,1305.76,2810.734,1405.367,11.3026,6.2606,12.4026,8.2606,0,0,0,4.3606,0,0,9.7426,13.0826,2.4606,13.5426,0,0,0,0,0,0.3406,0,0,0,0,1.764,1.08,0.74,0,2.004,0.2,0,3.35,0,3.89,0,2.91,1.484,2.388,0,0
15,20,15,13,7,1,2,8,11,12,6,16,17,5,15,,,,20,10,4,19,18,3,9,14,20,,,1800,1200,280.72,103.958,1519.28,1096.042,2615.322,1307.661,16.54,18.48,0,0,26.332,24.64,15.28,20.38,0,0,22.18,23.54,2.34,0,0,25.516,26.052,0,0,0,0,0,8.924,2.424,13.006,0,0,7.684,10.064,0.524,0,0,0,11.004,0,11.554,12.206,6.244,4.504,0
16,1,16,18,15,13,7,12,11,20,9,3,6,14,16,,,,1,4,19,8,2,5,10,17,1,,,1800,1200,310.84,108.08,1489.16,1091.92,2581.08,1290.54,0,0,29.054,0,0,29.814,22.44,0,27.914,0,24.706,23.34,9.5,30.534,7.16,0,0,5.22,0,26.294,0,8,0,0.42,9.24,13.6244,0,6.1,0,12.1464,0,0,4.46,14.2844,0,0,13.2244,0,2.5,10.7964
16,2,16,18,15,13,20,4,19,8,11,10,17,16,,,,,2,6,7,3,14,12,1,5,9,2,,1650,1350,218.26,48.4,1431.74,1301.6,2733.34,1366.67,0,0,0,13.5,0,0,0,17.22,0,20.212,19.02,0,9.5,0,7.16,0,21.29,5.22,15.58,11.62,2.5,0,1.34,0,4.14,0.58,0.92,3.16,4.38,0,0,2.08,0,1.62,0,0,4.678,0,0,0
16,3,16,18,15,13,20,4,19,1,2,8,12,16,,,,,3,14,7,6,17,5,9,11,10,3,,1650,1350,222.48,42.26,1427.52,1307.74,2735.26,1367.63,17.48,19.42,0,13.5,0,0,0,21.32,0,0,0,21.8,9.5,0,7.16,0,0,5.22,15.58,11.62,0,3.214,0,0,1.764,1.08,0.74,0,2.004,4.406,2.414,5.706,0,0.28,0,0,1.484,0,0,0
16,4,16,18,15,13,7,12,19,5,3,6,16,,,,,,4,1,2,8,11,20,9,10,17,14,4,1500,1500,289.88,134.28,1210.12,1365.72,2575.84,1287.92,0,0,27.352,0,26.332,28.112,22.44,0,0,0,0,23.34,9.5,0,7.16,0,0,5.22,24.832,0,0.42,2.36,0,0,0,0,0,4.26,9.268,10.61,6.06,0,0,12.348,0,0,11.688,0,0,7.648
16,5,16,18,15,13,7,4,19,1,20,12,8,16,,,,,5,9,17,6,11,2,10,3,14,5,,1650,1350,319.87,45.38,1330.13,1304.62,2634.75,1317.375,27.82,0,0,23.84,0,0,22.44,31.065,0,0,0,30.585,9.5,0,7.16,0,0,5.22,25.92,29.405,0,2.532,4.3214,0,0,0.938,1.278,0,0.24,3.178,1.732,0,0,4.6014,0,0,0.538,0,0,3.7014
16,6,16,18,15,13,20,4,19,5,10,11,2,16,,,,,6,7,3,14,12,1,8,17,9,6,,1650,1350,218.58,48.08,1431.42,1301.92,2733.34,1366.67,0,20.422,0,13.5,17.08,0,0,0,0,18.43,19.622,0,9.5,0,7.16,0,0,5.22,15.58,11.62,1.92,5.738,0.76,0,0,0,0.34,2.58,4.208,0,4.618,1.5,0,1.04,0,0,3.908,0,0,0
16,7,16,18,15,13,20,4,19,1,3,8,12,16,,,,,7,6,17,5,9,11,2,10,14,7,,1650,1350,203.48,44.2,1446.52,1305.8,2752.32,1376.16,17.48,0,18.58,13.5,0,0,0,19.42,0,0,0,19.9,9.5,0,7.16,0,0,5.22,15.58,11.62,0,2.474,3.74,0,1.024,0.34,0,0,1.264,3.12,1.674,5.04,0,4.58,0,0,0.744,0,0,0
16,8,16,18,15,13,7,9,20,11,19,14,3,16,,,,,8,12,1,4,5,17,6,2,10,8,,1650,1350,299.114,55.08,1350.886,1294.92,2645.806,1322.903,0,0,29.0834,0,0,0,22.44,0,23.28,0,26.4934,0,9.5,28.8034,7.16,0,0,5.22,27.7634,24.9054,0.9,3.662,4.928,1.32,2.16,3.082,0,0,2.4,4.308,0,0.48,0,0,0,0,2.682,0,0,0
16,9,16,18,15,13,7,4,19,1,20,12,8,16,,,,,9,5,17,6,11,2,10,3,14,9,,1650,1350,319.87,46.62,1330.13,1303.38,2633.51,1316.755,27.82,0,0,23.84,0,0,22.44,31.065,0,0,0,30.585,9.5,0,7.16,0,0,5.22,25.92,29.405,0,2.516,4.3054,0,0.24,0.922,1.262,0,0,3.162,1.716,0,0,4.5854,0,0,0.522,0,0,3.6854
16,10,16,18,15,13,7,8,11,12,6,14,17,16,,,,,10,19,4,2,1,20,9,3,5,10,,1650,1350,298.08,129.35,1351.92,1220.65,2572.57,1286.285,0,0,0,0,0,27.9,22.44,23.64,0,0,25.44,26.8,9.5,28.62,7.16,0,29.272,5.22,0,0,6.22,4.28,10.565,2.28,11.585,0,0,0,9.425,0,0,0,0,12.385,0,0,12.667,0,0.2,7.805
16,11,16,18,15,13,7,4,19,1,20,12,8,16,,,,,11,9,5,17,6,2,10,3,14,11,,1650,1350,319.87,45.5,1330.13,1304.5,2634.63,1317.315,27.82,0,0,23.84,0,0,22.44,31.065,0,0,0,30.585,9.5,0,7.16,0,0,5.22,25.92,29.405,0,1.922,4.3154,0,0.66,1.342,0,0,0.42,3.172,0,0,0,4.5954,0,0,0.942,0,2.526,3.6954
16,12,16,18,15,13,7,8,11,20,9,3,6,16,,,,,12,1,2,4,19,5,10,17,14,12,,1650,1350,314.24,114.88,1335.76,1235.12,2570.88,1285.44,0,0,29.788,0,0,30.548,22.44,23.64,28.648,0,25.44,0,9.5,0,7.16,0,0,5.22,0,27.028,0.42,2.36,0,4.36,9.58,0,0,8.08,0,12.4864,0,0,0,14.2244,0,0,13.5644,0,6.44,11.1364
16,13,16,18,15,11,8,2,12,20,9,14,6,16,,,,,13,7,4,19,1,10,5,3,17,13,,1650,1350,196.57,240.02,1453.43,1109.98,2563.41,1281.705,0,12.73,0,0,0,18.781,0,10.83,17.121,0,9.03,14.33,0,18.061,7.16,0,0,5.22,0,15.501,18.32,20.26,24.32,14.34,23.3,25.554,12.94,0,0,21.96,0,0,0,0,0,0,25.154,0,16.42,0
